Data,Hora,Algoritmo,N,Caso,Tempo,Memoria
2025-06-10,15-58-35,Cocktail Shaker Sort,100,Melhor caso,0.323828,0.000763
2025-06-10,15-58-35,Cocktail Shaker Sort,100,Pior caso,0.000013,0.000763
2025-06-10,15-58-35,Cocktail Shaker Sort,100,Caso medio,0.000014,0.000763
2025-06-10,15-58-35,Cocktail Shaker Sort,1000,Melhor caso,0.000004,0.007629
2025-06-10,15-58-35,Cocktail Shaker Sort,1000,Pior caso,0.000744,0.007629
2025-06-10,15-58-35,Cocktail Shaker Sort,1000,Caso medio,0.000947,0.007629
2025-06-10,15-58-35,Cocktail Shaker Sort,10000,Melhor caso,0.000016,0.076294
2025-06-10,15-58-35,Cocktail Shaker Sort,10000,Pior caso,0.073165,0.076294
2025-06-10,15-58-36,Cocktail Shaker Sort,10000,Caso medio,0.100389,0.076294
2025-06-10,15-58-36,Cocktail Shaker Sort,100000,Melhor caso,0.000095,0.762939
2025-06-10,15-58-42,Cocktail Shaker Sort,100000,Pior caso,6.802009,0.762939
2025-06-10,15-59-37,Cocktail Shaker Sort,100000,Caso medio,10.869636,0.762939
2025-06-10,15-59-37,Cocktail Shaker Sort,1000000,Melhor caso,0.001181,7.629395
2025-06-10,16-11-22,Cocktail Shaker Sort,1000000,Pior caso,705.460927,7.629395
2025-06-10,17-43-33,Cocktail Shaker Sort,1000000,Caso medio,1106.020645,7.629395
2025-06-10,17-43-33,Cocktail Shaker Sort,10000000,Melhor caso,0.010583,76.293945
2025-06-11,14-22-09,Cocktail Shaker Sort,10000000,Pior caso,74316.280223,76.293945
