Data,Hora,Algoritmo,N,Caso,Tempo,Memoria
2025-06-10,15-56-01,Comb Sort,100,Melhor caso,0.303897,0.000763
2025-06-10,15-56-01,Comb Sort,100,Pior caso,0.000007,0.000763
2025-06-10,15-56-01,Comb Sort,100,Caso medio,0.000010,0.000763
2025-06-10,15-56-01,Comb Sort,1000,Melhor caso,0.000017,0.007629
2025-06-10,15-56-01,Comb Sort,1000,Pior caso,0.000033,0.007629
2025-06-10,15-56-01,Comb Sort,1000,Caso medio,0.000074,0.007629
2025-06-10,15-56-01,Comb Sort,10000,Melhor caso,0.000215,0.076294
2025-06-10,15-56-01,Comb Sort,10000,Pior caso,0.000283,0.076294
2025-06-10,15-56-01,Comb Sort,10000,Caso medio,0.000889,0.076294
2025-06-10,15-56-01,Comb Sort,100000,Melhor caso,0.003113,0.762939
2025-06-10,15-56-01,Comb Sort,100000,Pior caso,0.003695,0.762939
2025-06-10,15-56-01,Comb Sort,100000,Caso medio,0.010820,0.762939
2025-06-10,15-56-01,Comb Sort,1000000,Melhor caso,0.035919,7.629395
2025-06-10,15-56-02,Comb Sort,1000000,Pior caso,0.042800,7.629395
2025-06-10,15-56-02,Comb Sort,1000000,Caso medio,0.126243,7.629395
2025-06-10,15-56-03,Comb Sort,10000000,Melhor caso,0.413119,76.293945
2025-06-10,15-56-03,Comb Sort,10000000,Pior caso,0.441838,76.293945
2025-06-10,15-56-14,Comb Sort,10000000,Caso medio,1.552750,76.293945

