Data,Hora,Algoritmo,N,Caso,Tempo,Memoria
2025-06-10,18-24-18,Cycle Sort,100,Melhor caso,0.372697,0.000763
2025-06-10,18-24-18,Cycle Sort,100,Pior caso,0.000011,0.000763
2025-06-10,18-24-18,Cycle Sort,100,Caso medio,0.000011,0.000763
2025-06-10,18-24-18,Cycle Sort,1000,Melhor caso,0.000248,0.007629
2025-06-10,18-24-18,Cycle Sort,1000,Pior caso,0.000433,0.007629
2025-06-10,18-24-18,Cycle Sort,1000,Caso medio,0.000684,0.007629
2025-06-10,18-24-18,Cycle Sort,10000,Melhor caso,0.024504,0.076294
2025-06-10,18-24-18,Cycle Sort,10000,Pior caso,0.042242,0.076294
2025-06-10,18-24-18,Cycle Sort,10000,Caso medio,0.069199,0.076294
2025-06-10,18-24-21,Cycle Sort,100000,Melhor caso,2.181183,0.762939
2025-06-10,18-24-25,Cycle Sort,100000,Pior caso,4.055849,0.762939
2025-06-10,18-24-58,Cycle Sort,100000,Caso medio,6.704897,0.762939
2025-06-10,18-29-14,Cycle Sort,1000000,Melhor caso,256.196153,7.629395
2025-06-10,18-37-24,Cycle Sort,1000000,Pior caso,489.679729,7.629395
2025-06-10,19-44-39,Cycle Sort,1000000,Caso medio,806.995338,7.629395
2025-06-11,04-13-46,Cycle Sort,10000000,Melhor caso,30546.936821,76.293945
2025-06-11,18-55-10,Cycle Sort,10000000,Pior caso,52883.288045,76.293945
